GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
DHH	"46,XY partial gonadal dysgenesis, with minifascicular neuropathy; 46,XY sex reversal 7"	AD/AR			
DHODH	Miller syndrome; Postaxial acrofacial dysostosis	AR	N/A		
DHTKD1	"Charcot-Marie-Tooth disease, type 2Q; 2-aminoadipic and 2-oxoadipic aciduria"	AD/AR	N/A		
DIABLO	"Deafness, autosomal dominant 64"	AD	N/A		
DIAPH1	"Deafness, autosomal dominant 1"	AD			
DIAPH2	Premature ovarian failure 2A	XL			
DICER1	"Pleuropulmonary blastoma; Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors "	AD			
DIP2B	"Mental retardation, FRA12A type"	AD	N/A		
DIS3L2	Perlman syndrome	AR			
DKC1	"Dyskeratosis congenita, X-linked; Hoyeraal-Hreidarsson syndrome"	XL			
DLAT	Pyruvate dehydrogenase E2 deficiency	AR			
DLD	Dihydrolipoyl dehydrogenase deficiency	AR			
DLG3	"Mental retardation, X-linked 90"	XL	N/A		
DLL1	Holoprosencephaly	AD	N/A		
DLL3	"Spondylocostal dysostosis, autosomal recessive, 1"	AR	N/A		
DLX3	"Trichodontoosseous syndrome; Amelogenesis imperfecta, type IV"	AD	N/A		
DLX5	Split-hand/foot malformation 1 with sensorineural hearing loss	AR			
DMD	"Duchenne muscular dystrophy; Becker muscular dystrophy; Cardiomyopathy, dilated, 3B"	XL			
DMGDH	Dimethylglycine dehydrogenase deficiency	AR	N/A		
DMP1	"Hypophosphatemic rickets, autosomal recessive 1"	AR			
DMPK	Myotonic dystrophy 1	AD/AR			
DNA2	"Progressive external ophthalmoplegia, autosomal dominant, 6"	AD	N/A		
DNAAF1	"Ciliary dyskinesia, primary, 13"	AR			
DNAAF2	"Ciliary dyskinesia, primary, 10"	AR			
DNAH11	"Ciliary dyskinesia, primary, 7"	AR			
DNAH5	"Ciliary dyskinesia, primary, 3, with or without situs inversus"	AR			
DNAI1	"Ciliary dyskinesia, primary, 1"	AR			
DNAI2	"Ciliary dyskinesia, primary, 9"	AR			
DNAJC19	"3-methylglutaconic aciduria, type V"	AR			
DNAJC5	"Ceroid lipofuscinosis, neuronal 4, Parry type; Kufs disease, autosomal dominant"	AD	N/A		
DNAJC6	"Juvenile Parkinsonism, autosomal recessive"	AR	N/A		
DNAL1	"Ciliary dyskinesia, primary, 16; Ciliary dyskinesia, primary, 1"	AR			
DNASE1L3	Systemic lupus erythematosus 16	AR	N/A		
DNM1L	"Encephalopathy, lethal, due to defective mitochondrial and peroxisomal fission"	AD	N/A		
DNM2	"Charcot-Marie-Tooth disease, dominant intermediate B; Charcot-Marie-Tooth disease, axonal, type 2M; Myopathy, centronuclear; Lethal akinesia and musculoskeletal abnormalities, with brain and retinal hemorrhages, autosomal recessive"	AD/AR	N/A		
DNMT1	"Neuropathy, hereditary sensory, type IE; Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant"	AD	N/A		
DNMT3B	Immunodeficiency-centromeric instability-facial anomalies syndrome 1	AR			
DOCK6	Adams-Oliver syndrome 2	AR	N/A		
DOCK8	"Hyper-IgE recurrent infection syndrome, autosomal recessive"	AR	"Allelic with Mental retardation, autosomal dominant 2 (AD)"		
DOK7	"Myasthenia, limb-girdle, familial"	AR	Allelic with Fetal akinesia deformation sequence (AR)		
DOLK	"Congenital disorder of glycosylation, type Im"	AR			
DPAGT1	"Congenital myasthenic syndrome with tubular aggregates 2; Congenital disorder of glycosylation, type Ij (AR)"	AR			
DPM1	"Congenital disorder of glycosylation, type Ie"	AR			
DPM2	"Congenital disorder of glycosylation, type Iu"	AR			
DPM3	"Congenital disorder of glycosylation, type Io"	AR			
DPP6	"Ventricular fibrillation, paroxysmal familial, 2"	AD			
DPY19L2	Spermatogenic failure 9; Globozoospermia	AR	N/A		
DPYD	5-fluorouracil toxicity	AD/AR			
DPYS	Dihydropyriminidase deficiency	AR			
DRD2	Myoclonic dystonia	AD	N/A		
DSC2	"Arrhythmogenic right ventricular dysplasia, familial, 11"	AD			
DSC3	Hypotrichosis and recurrent skin vesicles	AR	N/A		
DSG1	Keratosis palmoplantaris striata I	AD	N/A		
DSG2	"Cardiomyopathy, dilated, 1BB; Arrhythmogenic right ventricular dysplasia, familial, 10"	AD			
DSG4	Hypotrichosis 6	AR	N/A		
DSP	"Arrhythmogenic right ventricular dysplasia, familial 8; Cardiomyopathy, dilated, with wooly hair and keratoderma"	AD/AR	"Allelic with Keratosis palmoplantaris striata II (AD); Epidermolysis bullosa, lethal acantholytic (AR)"		
DSPP	"Deafness, autosomal dominant, 39, with dentinogenesis imperfecta 1; Dentinogenesis imperfecta, Shields type II; Dentinogenesis imperfecta, Shields type III; Dentin dysplasia, type II  "	AD	N/A		
DST	"Neuropathy, hereditary sensory and autonomic, type VI"	AR	N/A		
DTNA	Left ventricular noncompaction 1	AD			
DTNBP1	Hermansky-Pudlak syndrome type 7	AR			
DUOX2	Thyroid dyshormonogenesis 6	AD/AR			
DUOXA2	Thyroid dyshormonogenesis 5	AR			
DUSP6	"Hypogonadotropic hypogonadism 19, with or without anosmia"	AD/Digenic			
DUX4	"Facioscapulohumeral muscular dystrophy, type 2"	Digenic (involving a SMCHD1 mutation and a permissive D4Z4 haplotype)	N/A		
DYM	Dyggve-Melchior-Clausen disease; Smith-McCort dysplasia	AR	N/A		
DYNC1H1	"Charcot-Marie-Tooth disease, axonal, type 2O; Mental retardation, autosomal dominant 13; Spinal muscular atrophy, lower extremity, autosomal dominant "	AD	N/A		
DYNC2H1	"Asphyxiating thoracic dystrophy 3; Short rib-polydactyly syndrome, type II;Short rib-polydactyly syndrome, type IIB; Short rib-polydactyly syndrome, type III"	AR/Digenic 	N/A		
DYRK1A	"Mental retardation, autosomal dominant 7"	AD	N/A		
DYSF	"Miyoshi muscular dystrophy 1; Muscular dystrophy, limb-girdle, type 2B; Myopathy, distal, with anterior tibial onset"	AD/AR			
EARS2	Combined oxidative phosphorylation deficiency 12	AR	N/A		
EBP	"Chondrodysplasia punctata 2, X-linked dominant"	XL	N/A		
ECE1	"Hirschsprung disease, cardiac defects, and autonomic dysfunction"	AD	N/A		
ECEL1	Distal arthrogryposis type 5D	AR	N/A		
ECM1	Lipoid proteinosis	AR	N/A		
EDA	"Ectodermal dysplasia, anhidrotic, X-linked; Ectodermal dysplasia, hypohidrotic, X-linked;  Tooth agenesis, selective, X-linked, 1 (XL)"	XL	N/A		
EDAR	"Ectodermal dysplasia, anhidrotic, autosomal recessive; Ectodermal dysplasia, anhidrotic, autosomal dominant; Hair morphology 1"	AD/AR	N/A		
EDARADD	"Ectodermal dysplasia, anhidrotic, autosomal recessive; Ectodermal dysplasia, anhidrotic, autosomal dominant; Ectodermal dysplasia, hypohidrotic, autosomal dominant; Ectodermal dysplasia, hypohidrotic, autosomal recessive"	AD/AR	N/A		
EDN3	"Waardenburg syndrome, type 4B; Central hypoventilation syndrome, congenital"	AD/AR			
EDNRB	Waardenburg syndrome type 4A; ABCD syndrome	AD/AR			
EFEMP1	Doyne honeycomb degeneration of retina; Malattia leventinese 	AD/AR	N/A		
EFEMP2	"Cutis laxa, autosomal recessive type IB"	AR			
EFHC1	"Epilepsy, myoclonic juvenile; Epilepsy, juvenile absence, susceptibility to, 1; Epilepsy, severe intractable"	AD/AR	N/A		
EFNB1	Craniofrontonasal dysplasia	XL	N/A		
EFTUD2	"Mandibulofacial dysostosis with microcephaly; Esophageal atresia, syndromic"	AD			
EGF	"Hypomagnesemia 4, renal"	AR			
EGFR	"Acute myeloid leukemia, familial; Lung cancer, familial, susceptibilty to"	AD			
EGLN1	"Erythrocytosis, familial, 3"	AD			
EGR2	"Charcot-Marie-Tooth disease, demyelinating, type 1D; Neuropathy, congenital hypomyelinating, 1 ; Dejerine-Sottas disease"	AD/AR	N/A		
EHMT1	Kleefstra syndrome	AD	N/A		
EIF2AK3	Wolcott-Rallison syndrome	AR			
EIF2B1	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR			
EIF2B2	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR			
EIF2B3	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR			
EIF2B4	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR			
EIF2B5	Leukoencephalopathy with vanishing white matter; Ovarioleukodystrophy	AR			
EIF4G1	Parkinson disease 18	AD	N/A		
ELANE	"Neutropenia, severe congenital 1, autosomal dominant; Neutropenia, cyclic"	AD			
ELN	"Cutis laxa, autosomal dominant 1; Supravalvular aortic stenosis"	AD			
ELOVL4	"Icthyosis, spastic quadriplegia, and mental retardation; Startgardt disease 3"	AD/AR	N/A		
EMD	"Emery-Dreifuss muscular dystrophy 1, X-linked"	XL			
EMG1	Bowen-Conradi syndrome	AR	N/A		
EMX2	Schizencephaly	AD	N/A		
ENAM	"Amelogenesis imperfecta, type IB; Amelogenesis imperfecta, type IC"	AR	N/A		
ENG	"Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis syndrome"	AD			
ENO3	Glycogen storage disease XIII	AR	N/A		
ENPP1	"Hypophosphatemic rickets, autosomal recessive 2; Arterial calcification, generalized, of infancy, 1"	AR			
EP300	Rubinstein-Taybi syndrome 2	AD	N/A		
EPAS1	"Erthyrocytosis, familial 4"	AD			
EPB41	Ellipsocytosis 1	AR			
EPB42	"Spherocytosis, type 5"	AR			
EPCAM	"Colorectal cancer, hereditary nonpolyposis, type 8; Diarrhea 5, with tufting enteropathy, congenital"	AD/AR			
EPG5	Vici syndrome	AR			
EPHA2	"Cataract, age-related cortical, 2; Cataract, posterior polar, 1 "	AD	N/A		
EPHX1	"Hypercholanemia, familial"	AR			
EPM2A	"Epilepsy, progressive myoclonic 2A (Lafora)"	AR	N/A		
EPOR	"Erythrocytosis, familial, 1"	AD			
EPX	Eosinophil peroxidase deficiency	AR	N/A		
ERBB3	Lethal congenital contractural syndrome 2	AR	N/A		
ERCC1	Cerebrooculofacioskeletal syndrome 4	AR	N/A		
ERCC2	"Trichothiodystrophy; Xeroderma pigmentosum, group D"	AR	Allelic with Cerebrooculofacioskeletal syndrome  (AR)		
ERCC3	"Xeroderma pigmentosum, complementation group B; Trichothiodystrophy"	AR			
ERCC4	"Xeroderma pigmentosum, group F"	AR	Allelic with XFE progeroid syndrome (AR)		
ERCC5	"Xeroderma pigmentosum, group G; Xeroderma pigmentosum, group G/Cockayne syndrome"	AR	Allelic with Cerebrooculofacioskeletal syndrome 3 (AR)		
ERCC6	Xeroderma Pigmentosum-Cockayne Syndrome; De Sanctis-Cacchione syndrome	AD/AR	"Allelic with Cerebrooculofacioskeletal syndrome (AR); UV-sensitive syndrome (AR), in which individuals have sun senstivity, but are not reported to have skin cancer"		
ERCC8	UV-sensitive syndrome 2; Cockayne syndrome type A	AR	N/A		
ERMAP	"Blood group, Scianna system; Blood group, Radin"	BG			
ESAM	Schizophrenia	AD	N/A		
ESCO2	SC phocomelia syndrome; Roberts syndrome	AR	N/A		
ESPN	"Deafness; autosomal dominant, without vestibular involvement; Deafness, autosomal recessive 36"	AD/AR			
ESR1	Estrogen resistance	AR	N/A		
ESRRB	"Deafness, autosomal recessive 35"	AR			
ETFA	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR			
ETFB	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR			
ETFDH	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR			
ETHE1	Ethylmalonic encephalopathy	AR			
EVC	Ellis-van Creveld syndrome; Weyers acrodental dysostosis	AD/AR	N/A		
EVC2	Ellis-van Creveld syndrome; Weyers acrodental dysostosis	AD/AR	N/A		
EXOSC3	Pontocerebellar hypoplasia type 1B	AR	N/A		
EXPH5	"Epidermolysis bullosa, nonspecific, autosomal recessive"	AR	N/A		
EXT1	"Exostoses, multiple, type 1"	AD			
EXT2	"Exostoses, multiple, type 2"	AD			
EYA1	Branchiootic syndrome 1; Branchiootorenal syndrome 1; Otofaciocervical syndrome	AD			
EYA4	"Cardiomyopathy, dilated, 1J"	AD	"Allelic with Deafness, autosomal dominant 10 (AD)"		
EYS	Retitinis pigmentosa 25	AR	N/A		
EZH2	Weaver syndrome 2	AD	N/A		
F10	Factor X deficiency	AR			
F11	Factor XI deficiency	AD/AR			
F12	"Angioedema, hereditary, type III"	AD	"Allelic with Factor XII deficiency (AD) (in which, though the evidence is mixed, individuals do not appear to have a predisposition to severe bleeding diatheses or thromboembolic complications)"		
F13A1	Factor XIIIA deficiency	AR			
F13B	Factor XIIIB	AR			
F2	"Prothrombin deficiency, congenital; Thrombophilia due to thrombin defect "	AD/AR			
F5	Factor V deficiency	AD/AR	"FVL (R506Q, 612309.0001) has also been reported as associated with multiple susceptibilities and other conditions"		
F7	Factor VII deficiency	AR			
F8	Hemophilia A	XL			
F9	"Hemophilia B; Thrombophilia, X-linked, due to factor IX defect; Warfarin sensitivity"	XL			
FA2H	"Spastic paraplegia 35, autosomal recessive"	AR	N/A		
FADD	"Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations"	AR			
FAH	"Tyrosinemia, type III"	AR			
FAM126A	"Leukodystrophy, hypomyelinating, 5"	AR	N/A		
FAM134B	"Neuropathy, hereditary sensory and autonomic, type IIB"	AR	N/A		
FAM161A	Retitinis pigmentosa 28	AR	N/A		
FAM20A	"Amelogenesis imperfecta and gingival fibromatosis syndrome; Ameliogenesis imperfecta, hypoplastic; Enamel renal syndrome"	AR	N/A		
FAM20C	"Hypophosphatemia,hyperphosphaturia, dental anomalies, intracerebral calcifications and osteosclerosis (Raine syndrome)"	AR			
FAM58A	"STAR syndrome; Toe syndactyly, telecanthus, and anogenital and renal malformations"	XL	N/A		
FAM83H	"Amelogenesis imperfecta, type 3"	AD	N/A		
FAN1	"Interstitial nephritis, karyomegalic"	AR	N/A		
FANCA	"Fanconi anemia, complementation group A"	AR			
FANCB	"Fanconi anemia,complementation group B"	XL			
FANCC	"Fanconi anemia, complementation group C"	AR			
FANCD2	"Fanconi anemia, complementation group D2"	AR			
FANCE	"Fanconi anemia, complementation group E"	AR			
FANCF	"Fanconia anemia, complementation group F"	AR			
FANCG	Fanconi anemia type G	AR			
FANCI	"Fanconi anemia, complementation group I"	AR			
FANCL	Fanconi anemia type L	AR			
FANCM	Fanconi anemia type M	AR			
FARS2	Combined oxidative phosphorylation deficiency 14	AR	N/A		
FAS	"Autoimmune lymphoproliferative syndrome, type IA"	AD/AR			
FASTKD2	Mitochondrial complex IV deficiency	AR	N/A		
FBLN1	Synpolydactyly 2	AD	N/A		
FBLN5	"Macular degeneration, age-related 3 (AD); Cutis laxa, autosomal dominant 2; Cutis laxa, autosomal recessive, type IA"	AD/AR	N/A		
FBN1	Marfan syndrome; MASS syndrome; Shprintzen-Goldberg syndrome	AD	"Allelic with Geleophysic dysplasia 2 (AD); Weill-Marchesani syndrome 2 (AD); Acromicric dysplasia (AD); Stiff skin syndrome (AD); Ectopia lentis, familial (AD)"		
FBN2	Congenital contractural arachnodactyly (Beals syndrome)	AD			
FBP1	"Fructose-1,6-bisphosphatase deficiency"	AR			
FBXO7	"Parkinson disease 15, autosomal recessive"	AR	N/A		
FCN3	Immunodeficiency due to Ficolin 3 deficiency	AR			
FECH	"Protoporphyria, erythropoietic"	AD/AR			
FERMT1	Kindler syndrome	AR			
FERMT3	"Leukocyte adhesion deficiency, type III"	AR			
FGA	"Afibrinogenemia, congenital; Dysfibrinogenemia, alpha type; Familial visceral amyloidosis"	AD/AR			
FGB	"Afibrinogenemia, congenital; Dysfibrinogenemia, beta type"	AD/AR			
FGD1	"Aarskog-Scott syndrome; Mental retardation, X-linked syndromic 16"	XL	N/A		
FGD4	"Charcot-Marie-Tooth disease, type 4H"	AR	N/A		
FGF10	Lacrimoauriculodentodigital syndrome	AD	Allelic with Aplasia of lacrimal and salivary glands (AD)		
FGF14	Spinocerebellar ataxia 27	AD	N/A		
FGF17	"Hypogonadotropic hypogonadism 20, with or without anosmia"	AD/Multigenic			
FGF23	"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic"	AD/AR			
FGF3	"Deafness, congenital with inner ear agenesis, microtia, and microdontia"	AR			
FGF8	"Hypogonadotropic hypogonadism 6, with or without anosmia"	AD/Digenic	Allelic with Holoprosencephaly (AD)		
FGF9	Multiple synostoses syndrome 3	AD	N/A		
FGFR1	Hypogonadotropic hypogonadism 2 with our without anosmia; Trigonocephaly 1; Jackson-Weiss syndrome; Pfeiffer syndrome	AD/Digenic/Multigenic	Allelic with Osteoglophonic dysplasia (AD)		
FGFR2	Lacrimoauriculodentodigital syndrome; Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis; Crouzon syndrome; Jackson-Weiss syndrome; Pfeiffer syndrome; Apert syndrome; Beare-Stevenson cutis gyrata syndrome	AD	"Allelic with Bent bone dysplasia syndrome (AD); Scaphocephaly, maxillary retrusion, and mental retardation (AD)"		
FGFR3	"Camptodactyly, tall stature, and hearing loss (CATSHL) syndrome; Crouzon syndrome with acanthosis nigricans; Muenke syndrome"	AD	"Allelic with Thanatophoric dysplasia, type I (AD), Thanatophoric dysplasia, type II (AD); Severe achondroplasia with developmental delay and acanthosis nigricans (AD); Lacrimoauriculodentodigital syndrome (which may be recognizable from multisystem involvement) (AD); Hypochondroplasia (AD); Achondroplasia (AD); Homozygous/compound heterozygous mutations have been described"		
FGG	"Dysfibrinogenemia, gamma type; Hypofibrinoginemia, gamma type"	AD/AR			
FH	Hereditary leiomyomatosis and renal cell cancer	AD	Allelic with Fumarase deficiency (AR)		
FHL1	"Myopathy, reducing body, X-linked, childhood-onset; Myopathy, reducing body, X-linked, severe early-onset; Emery-Dreifuss muscular dystrophy 6, X-linked; Myopathy, X-linked, with postural muscle atrophy "	XL	"Allelic with Scapuloperoneal myopathy, X-linked dominant (XL)"		
FIG4	"Amyotrophic lateral sclerosis 11; Charcot-Marie Tooth disease, autosomal recessive, type 4J"	AD/AR	N/A		
FIGLA	Premature ovarian failure 6	AD			
FKBP10	"Osteogenesis imperfecta, type XI; Bruck syndrome"	AR	N/A		
FKBP14	"Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss"	AR			
FKRP	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5; Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5 "	AR			
FKTN	"Cardiomyopathy, dilated, 1X; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4; Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4 "	AD/AR			
FLCN	"Birt-Hogg-Dube syndrome; Pneumothorax, primary spontaneous "	AD			
FLG	Icthyosis vulgaris	AD/AR	N/A		
FLI1	"Thrombocytopenia, Paris-Trousseau type"	AD			
FLNA	"Cardiac valvular dysplasia, X-linked; Heterotopia, periventricular, Ehlers-Danlos variant;  Intestinal pseudoobstruction, neuronal, X-linked/Congenital short bowel syndrome"	XL	"Allelic with Otopalatodigital syndrome, type I (XL); Otopalatodigital syndrome, type II (XL); Frontometaphyseal dysplasia (XL); Melnick-Needles syndrome (XL); FG syndrome 2 (XL); Terminal osseus dysplasia (XL)"		
FLNB	"Spondylocarpotarsal synostosis syndrome; Boomerang dysplasia; Atelosteogenesis, type I; Atelosteogenesis, type III "	AD/AR			
FLNC	"Myopathy, distal, 4; Myopathy, myofibrillar, 5"	AD			
FLRT3	"Hypogonadotropic hypogonadism 21, with or without anosmia"	AD/Digenic/Multigenic			
FLT4	"Lymphedema, hereditary I (Milory disease)"	AD/AR			
FLVCR1	"Ataxia, posterior column, with retinitis pigmentosa"	AR	N/A		
FLVCR2	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	N/A		
FMO3	Trimethylaminuria	AR			
FMR1	Premature ovarian failure	XL	Allelic with Fragile X syndrome (XL); Fragile X tremor/ataxia syndrome (XL)		
FN1	Glomerulopathy with fibronectin deposits 2	AD	N/A		
FOLR1	Cerebral folate deficiency	AR			
FOXC1	"Peters anomaly; Axenfeld-Rieger syndrome, type 3; Iridogoiodysgenesis, type 1"	AD			
FOXC2	Lymphedema-distichiasis syndrome	AD	N/A		
FOXE1	Bamforth-Lazarus syndrome; Congenital hypothyroidism	AR			
FOXE3	"Aphakia, congenital primary; Anterior segment mesenchymal dysgenesis"	AR/AD	N/A		
FOXF1	Alveolar capillary dysplasia with misalignment of pulmonary veins	AD	N/A		
FOXG1	"Rett syndrome, congenital variant"	AD	N/A		
FOXH1	Holoprosencephaly; Congenital heart malformations	AD	N/A		
FOXI1	Enlarged vestibular aqueduct; Pendred syndrome	AD			
FOXL2	"Blepharophimosis, epicanthus inversus, and ptosis, type 1; Blepharophimosis, epicanthus inversus, and ptosis, type 2; Premature ovarian failure 3"	AD			
FOXN1	"T-cell immunodeficiency, congenital alopecia, and nail dystrophy"	AR			
FOXP1	Mental retardation with language impairment and autistic features	AD	N/A		
FOXP2	Speech-language disorder 1	AD	N/A		
FOXP3	"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked"	XL			
FOXRED1	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
FRAS1	Fraser syndrome	AR	N/A		
FREM1	"Bifid nose with or without anorectal and renal anomalies; Trigonocephaly 2; Manitoba oculotrichoanal syndrome; Congenital diaphragmatic hernia, autosomal recessive"	AD/AR	N/A		
FREM2	Fraser syndrome	AR	N/A		
FRMD7	"Nystagmus, infantile periodic alternating, X-linked"	XL	N/A		
FSCN2	Retinitis pigmentosa 30	AD	N/A		
FSHB	"Follicle-stimulating hormone deficiency, isolated"	AR			
FSHMD1A	Facioscapulohumeral muscular dystrophy 1A	AD/AR			
FSHR	Ovarian hyperstimulation syndrome; Ovarian dysgenesis 1	AD/AR			
FTCD	Glutamate formiminotransferase deficiency	AR	N/A		
FTH1	"Iron overload, autosomal dominant"	AD			
FTL	Neurodegeneration with brain iron accumulation 3; Hyperferritinemia-cataract syndrome	AD	N/A		
FTO	"Growth retardation, developmental delay, coarse facies, and early death"	AR	N/A		
FTSJ1	"Mental retardation, X-linked 9"	XL	N/A		
FUCA1	Fucosidosis	AR	N/A		
FUS	"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia; Essential tremor"	AD/AR	N/A		
FUT1	Bombay phenotype; Para-Bombay phenotype; H-deficient blood group; Reunion variant	BG			
FUT3	"Blood group, Lewis"	AD			
FUT6	Fucosyltransferase 6 deficiency	AR	N/A		
FUZ	"Neural tube defects, susceptibility to"	AD	N/A		
FXN	Friedreich ataxia	AR			
FXYD2	"Hypomagnesemia 2, renal"	AD			
FYCO1	"Cataract, autosomal recessive congenital 2"	AR	N/A		
FZD4	Exudative vitreoretinopathy; Retinopathy of prematurity	AD	N/A		
FZD6	"Nail disorder, nonsyndromic noncongenital 10"	AR	N/A		
G6PC	Glycogen storage disease Ia	AR			
G6PC3	"Neutropenia, severe congenital, 4, autosomal recessive; Dursun syndrome"	AR			
G6PD	Glucose-6-phosphate dehydrogenase deficiency	XL			
GAA	Glycogen storage disease II	AR			
GABRA1	"Epilepsy, juvenile myoclonic, susceptibility to, 5; Epilepsy, childhood absence, susceptibility to, 4"	AD	N/A		
GABRB3	"Epilepsy, childhood absence, susceptibility to, 5"	AD	N/A		
GABRG2	"Dravet syndrome; Generalized epilepsy with febrile seizures plus, type 3; Familial febrile seizures 8; Epilepsy, childhood absence, susceptibility to, 2"	AD	N/A		
GAD1	"Cerebral palsy, spastic quadriplegic, 1"	AR	N/A		
GALC	Krabbe disease	AR			
GALE	Galactose epimerase deficiency	AR			
GALK1	Galactokinase deficiency	AR			
GALNS	Mucopolysaccharidosis IVA (Morquio syndrome A)	AR	N/A		
GALNT12	"Colorectal cancer, susceptibility to, 1"	AD			
GALNT3	"Tumoral calcinosis, hyperphosphatemic"	AR			
GALT	Galactosemia	AR			
GAMT	Guanidinoacetate methyltransferase deficiency	AR			
GAN	Giant axonal neuropathy 1	AR	N/A		
GARS	"Charcot-Marie-Tooth disease, type 2D; Neuropathy, distal hereditary motor, type V "	AD	N/A		
GAS1	Holoprosencephaly 4	AD	N/A		
GATA1	"Thrombocytopenia with beta-thalessemia, X-linked; Anemia, X-linked, without thrombocytopenia; Dyserythropoietic anemia with thrombocytopenia"	XL			
GATA2	"Dendritic cell, monocyte, B and natural killer lymphoid deficiency; Emberger syndrome; Myelodysplastic syndrome; Acute myeloid leukemia, familial; Chronic neutropenia associated with monocytopenia, evolving to myelodysplasia and acute myeloid leukemia"	AD			
GATA3	"Hypoparathyroidism, sensorineural deafness, and renal dysplasia"	AD			
GATA4	Atrioventricular septal defect 4; Ventricular septal defect 1; Atrial septal defect 2; Tetralogy of Fallot	AD			
GATA6	Pancreatic agenesis and congenital heart defects	AD	Allelic with Atrial septal defect 9 (AD); atrioventricular septal defect 5 (AD); Persistent truncus arteriosus (AD); Tetralogy of Fallot (AD)		
GATAD1	"Cardiomyopathy, dilated, 2B"	AR			
GATAD2B	"Mental retardation, autosomal dominant, 18"	AD	N/A		
GATM	Arginine:glycine amidinotransferase deficiency	AR			
GBA	Gaucher disease	AR			
GBA2	"Cerebellar ataxia with spasticity, autosomal recessive "	AR	N/A		
GBE1	Glycogen storage disease IV	AR	"Allelic with Adult polyglucosan body disease (AR); Lethal pterygium syndrome, autosomal recessive (AR)"		
GCDH	"Glutaric aciduria, type I"	AR			
GCH1	"Hyperphenylalaninemia, BH4-deficient, B; Autosomal Recessive Dopa-Responsive Dystonia with or without Hyperphenylalaninemia; GTP Cyclohydrolase 1-Deficient Dopa-Responsive Dystonia"	AD/AR			
GCK	"Diabetes mellitus, permanent neonatal; Hyperinsulinemic hypoglycemia, familial 3"	AD/AR			
GCLC	Gamma-glutamylcysteine synthetase deficiency	AR			
GCM2	"Hypoparathyroidism, familial isolated"	AD/AR			
GCNT2	"Blood group, Ii"	BG			
GCSH	Glycine encephalopathy	AR			
GDAP1	"Charcot-Marie-Tooth disease, recessive intermediate, A; Charcot-Marie-Tooth disease, axonal, with vocal cord paresis; Charcot-Marie-Tooth disease, axonal, type 2K; Charcot-Marie-Tooth disease, type 4A"	AD/AR	N/A		
GDF1	"Transposition of the great arteries, dextro-looped 3; Double-outlet right ventricle"	AD	N/A		
GDF3	"Microphthalmia, isolated 7; Microphthalmia, isolated, with coloboma 6; Klippel-Feil syndrome 3, autosomal dominant; Coloboma, ocular"	AD	N/A		
GDF5	"Acromesomelic dysplasia, Hunter-Thompson type; Fibular hypoplasia and complex brachydactyly; Multiple synostoses syndrome 2; Chondrodysplasia, Grebe type; Symphalangism, proximal; Brachydactyly, type A1;  Brachydactyly, type A1, C; Brachydactyly, type A2; Brachydactyly, type C"	AD/AR	N/A		
GDF6	"Microphthalmia, isolated 4; Microphthalmia, isolated, with coloboma 6; Coloboma, ocular; Klippel-Feil syndrome 1, autosomal dominant "	AD	N/A		
GDI1	"Mental retardation, X-linked 41"	XL	N/A		
GDNF	Central hypoventilation syndrome	AD			
GFAP	Alexander disease	AD	N/A		
GFER	"Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay "	AR	N/A		
GFI1	"Neutropenia, severe congenital, 2 autosomal dominant; Neutropenia, nonimmune chronic idiopathic, of adults "	AD			
GFM1	Combined oxidative phosphorylation deficiency 1	AR	N/A		
GFPT1	"Myasthenia,limb-girdle, with tubular aggregates"	AR			
GGCX	"Vitamin K-dependent clotting factors, combined deficiency of, 1; Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency"	AD/AR/Digenic			
